Homeowner,Credit Score,Years of Credit History,Revolving Balance,Revolving Utilization,Decision
1,725,20,11320,0.25,1
1,573,9,7200,0.7,0
1,677,11,20000,0.55,1
0,625,15,12800,0.65,0
0,527,12,5700,0.75,0
1,795,22,9000,0.12,1
0,733,7,35200,0.2,1
0,620,5,22800,0.62,0
1,591,17,16500,0.5,0
1,660,24,9200,0.35,1
1,700,19,22000,0.18,1
1,500,16,12500,0.83,0
1,565,6,7700,0.7,0
0,620,3,37400,0.87,0
1,774,13,6100,0.07,1
1,802,10,10500,0.05,1
0,640,7,17300,0.59,0
0,523,14,27000,0.79,0
1,811,20,13400,0.03,1
0,763,2,11200,0.7,0
0,555,4,2500,1,0
0,617,9,8400,0.34,0
1,642,13,16000,0.25,1
0,688,3,3300,0.11,1
1,649,12,7500,0.05,1
1,695,15,20300,0.22,1
1,701,9,11700,0.15,1
0,635,7,29100,0.85,0
0,507,2,2000,1,0
1,677,12,7600,0.09,1
0,485,5,1000,0.8,0
0,582,3,8500,0.65,0
1,699,17,12800,0.27,1
1,703,22,10000,0.2,1
0,585,18,31000,0.78,0
1,620,8,16200,0.55,0
1,695,16,9700,0.11,1
1,774,13,6100,0.07,1
1,802,10,10500,0.05,1
0,640,7,17300,0.59,0
0,536,14,27000,0.79,0
1,801,20,13400,0.03,1
0,760,2,11200,0.7,0
0,567,4,2200,0.95,0
0,600,10,12050,0.81,0
1,702,11,11700,0.15,1
1,636,8,29100,0.85,0
0,509,3,2000,1,0
0,595,18,29000,0.78,0
1,733,15,13000,0.24,1
